id,group,difficulty,question,reference_answer,reference_evidence,evidence_row_ids_0based,evidence_urls_json,expected_hops,seed_entities,required_relations,adversarial_dimension,gold_reasoning,scoring_notes,source_scope
G5000-26,multi-hop,hard,"What external technology provider is named inside Amazon's July AI-service expansion, and what other new AI capability is mentioned alongside it?",Amazon's AI-service story names access to technology from Cohere. It also mentions a program for building more conversational customer-service agents; one follow-up additionally mentions a healthcare system for generating clinical notes after patient visits.,row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google,"[2532, 2537]","[""https://www.reuters.com/technology/amazon-has-drawn-thousands-try-its-ai-service-competing-with-microsoft-google-2023-07-26/"", ""https://indianexpress.com/article/technology/artificial-intelligence/amazon-has-drawn-thousands-to-try-its-ai-service-competing-with-microsoft-google-8862614/""]",2,"[""Amazon"", ""Cohere""]","[""PROVIDES_ACCESS_TO"", ""DEVELOPED""]",Duplicate coverage + detail union,Merge the duplicate Amazon reports and retain non-conflicting details from each.,Need Cohere plus the customer-service-agent capability; clinical notes is an additional supported detail.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-27,cross-doc,hard,How should the graph reconcile the statement that AMD powers multiple cloud services with the later Reuters report about AWS considering AMD AI chips?,The June 1 investment article broadly says AMD powers multiple cloud services through its chips. The June 14 Reuters report specifically says AWS was only considering AMD's new AI chips and had not made a final decision. Therefore the broad cloud relationship must not be specialized into a confirmed AWS adoption of the new AI chips.,row 3357 (2023-06-01 13:16:00): 3 Best Cloud Stocks to Buy in June | row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips,"[3357, 2905]","[""https://www.fool.com/investing/2023/06/01/3-best-cloud-stocks-to-buy-in-june/"", ""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/""]",2,"[""AMD"", ""AWS""]","[""POWERS"", ""CONSIDERING""]",General-to-specific relation trap,Distinguish a general market statement from a specific vendor adoption claim.,Critical: do not infer AWS adopted the new AMD AI chips.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-28,multi-hop,hard,"Which model providers are connected to Google Cloud Next '23 in the selected data, and which models are associated with each provider?","Meta is connected via Llama 2 and Code Llama; the Technology Innovation Institute is connected via Falcon LLM; Anthropic is connected via Claude 2, which Google Cloud pre-announced.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud,[3395],"[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm""]",3,"[""Google Cloud"", ""Meta"", ""Technology Innovation Institute"", ""Anthropic""]","[""HOSTS_MODEL_FROM"", ""PREANNOUNCED""]",Multi-entity model/provider mapping,Build separate provider->model mappings rather than a flat list.,All three providers and their models are required.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-29,cross-doc,hard,How did participation in White House AI commitments broaden from July to September 2023 according to the selected reports?,"The July report names seven companies including Google, Meta, and OpenAI as making voluntary AI commitments. The September report says IBM, Adobe, Salesforce, and five more companies made similar safety, security, and transparency commitments, explicitly noting similarity to the July pledges by OpenAI and others.",row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI | row 3330 (2023-09-12 10:00:00): More tech companies take White House AI safety pledge,"[3380, 3330]","[""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai"", ""https://www.msn.com/en-us/money/companies/more-tech-companies-take-white-house-ai-safety-pledge/ar-AA1gARhV""]",2,"[""White House"", ""Google"", ""Meta"", ""OpenAI"", ""IBM"", ""Adobe"", ""Salesforce""]","[""COMMITTED_TO""]",Temporal participant-set expansion,Compare the named participant sets and shared commitment concept over time.,Do not claim the September companies were part of the July seven unless explicitly named.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-30,multi-hop,hard,"Meta appears in two different AI contexts in the selected data. What are they, and what distinct relation should the graph store in each case?","At Google Cloud Next, Meta is the provider/source of Llama 2 and Code Llama models made available on Google Cloud. Separately, Meta is one of the companies named in the July White House voluntary AI commitments. These are a model-provider/platform relation and a policy/safety-commitment relation, respectively.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud | row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI,"[3395, 3380]","[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm"", ""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai""]",2,"[""Meta"", ""Google Cloud"", ""White House""]","[""PROVIDES_MODEL"", ""COMMITTED_TO""]","Same entity, different semantic roles",Resolve Meta as one entity but preserve distinct relation types across contexts.,Penalize collapsing both edges into a generic partnership.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-31,multi-hop,hard,"Order OpenAI's ecosystem moves from March through July 2023 using the selected sources: plug-ins, open-source model planning, marketplace planning, and AP collaboration.",March: ChatGPT gained support for about a dozen application plug-ins. May: OpenAI was reported to be preparing a new open-source language model. June: OpenAI was reported to plan an app-store/marketplace for developers to sell AI models built on its technology. July: AP and OpenAI announced a collaboration to share select news content and technology for generative-AI use cases.,row 3938 (2023-03-24 15:58:00): OpenAI's ChatGPT gets support for a dozen application plug-ins | row 946 (2023-05-15 22:36:00): OpenAI readies new open-source AI model The Information reports | row 2449 (2023-06-20 14:28:00): OpenAI plans app store for AI software The Information reports | row 366 (2023-07-13 00:00:00): AP Open AI agree to share select news content and technology in new collaboration,"[3938, 946, 2449, 366]","[""https://www.computerworld.com/article/3691617/openais-chatgpt-gets-support-for-a-dozen-application-plug-ins.html"", ""https://www.reuters.com/technology/openai-readies-new-open-source-ai-model-information-2023-05-15/"", ""https://www.reuters.com/technology/openai-plans-app-store-ai-software-information-2023-06-20/"", ""https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration""]",4,"[""OpenAI"", ""ChatGPT"", ""AP""]","[""SUPPORTED_PLUGIN"", ""PLANNED_RELEASE"", ""PLANNED_MARKETPLACE"", ""PARTNERED_WITH""]",Temporal ecosystem evolution,Chronologically integrate four distinct OpenAI ecosystem events.,Need all four stages and must preserve reported/planned status for May and June.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-32,cross-doc,hard,What is the difference between OpenAI's March plug-in development and its June reported app-store plan?,The March story describes ChatGPT gaining support for application plug-ins so companies can expose product functionality to the assistant. The June story describes a planned marketplace where developers could sell AI models built on OpenAI technology. One is runtime integration support; the other is a proposed commercial distribution marketplace.,row 3938 (2023-03-24 15:58:00): OpenAI's ChatGPT gets support for a dozen application plug-ins | row 2449 (2023-06-20 14:28:00): OpenAI plans app store for AI software The Information reports,"[3938, 2449]","[""https://www.computerworld.com/article/3691617/openais-chatgpt-gets-support-for-a-dozen-application-plug-ins.html"", ""https://www.reuters.com/technology/openai-plans-app-store-ai-software-information-2023-06-20/""]",2,"[""OpenAI"", ""ChatGPT""]","[""SUPPORTED_PLUGIN"", ""PLANNED_MARKETPLACE""]",Capability-vs-marketplace distinction,Compare the function of the two ecosystem mechanisms.,Penalize answers treating plug-ins and the app store as the same launch.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-33,cross-doc,hard,"Which July OpenAI-related event is a content/technology collaboration, and which July event is a voluntary governance commitment?","The AP–OpenAI agreement is a collaboration to share access to select news content and technology for generative-AI use cases. Separately, OpenAI is named among companies making voluntary White House commitments on developing and managing AI.",row 366 (2023-07-13 00:00:00): AP Open AI agree to share select news content and technology in new collaboration | row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI,"[366, 3380]","[""https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration"", ""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai""]",2,"[""OpenAI"", ""Associated Press"", ""White House""]","[""PARTNERED_WITH"", ""COMMITTED_TO""]",Relation-type disambiguation,Keep commercial/content collaboration separate from governance/safety commitment.,Need both counterparties and the correct relation type.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-34,multi-hop,hard,Compare how Google Cloud and Amazon expanded their AI ecosystems in the selected data. Which third-party model/technology suppliers are named for each?,"Google Cloud announced models from Meta (Llama 2 and Code Llama), the Technology Innovation Institute (Falcon LLM), and pre-announced Anthropic's Claude 2. Amazon's July AI-service expansion named technology access from Cohere, alongside conversational customer-service tooling.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud | row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google,"[3395, 2532, 2537]","[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm"", ""https://www.reuters.com/technology/amazon-has-drawn-thousands-try-its-ai-service-competing-with-microsoft-google-2023-07-26/"", ""https://indianexpress.com/article/technology/artificial-intelligence/amazon-has-drawn-thousands-to-try-its-ai-service-competing-with-microsoft-google-8862614/""]",3,"[""Google Cloud"", ""Amazon"", ""Meta"", ""Technology Innovation Institute"", ""Anthropic"", ""Cohere""]","[""HOSTS_MODEL_FROM"", ""PROVIDES_ACCESS_TO""]",Cross-platform ecosystem comparison,Aggregate suppliers by cloud platform while avoiding cross-assignment.,Cohere belongs to Amazon in these sources; Anthropic/Meta/TII are tied to Google Cloud here.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-35,cross-doc,hard,Contrast AWS's AMD-chip posture with HPE's AI-cloud posture. Which is a tentative hardware sourcing decision and which is a service offering?,"AWS was only considering AMD's new AI chips, with no final decision. HPE said it would offer a cloud computing service specifically for large language models, drawing on its supercomputing experience. Thus AWS is a tentative sourcing/evaluation relation, while HPE is an AI service-offering relation.",row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence,"[2905, 3289]","[""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/"", ""https://indianexpress.com/article/technology/artificial-intelligence/hpe-to-offer-cloud-computing-service-for-artificial-intelligence-8676758/""]",2,"[""AWS"", ""AMD"", ""HPE"", ""LLM""]","[""CONSIDERING"", ""OFFERS""]",Uncertainty + strategy-type comparison,Distinguish procurement evaluation from service launch/offer.,Need both the uncertainty on AWS and the LLM-service characterization for HPE.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
